Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
70,Humpday,2009,Lynn Shelton,Comedy/Drama,Two straight male friends drunkenly agree to make a pornographic film together and neither will back down in Sheltons sharp mumblecore comedy about masculinity and boundaries.,Sundance Special Jury Prize; RT 76 MC 69; $400K; Sheltons breakthrough; Duplass leads; mumblecore meets mainstream; male sexual anxiety explored with wit,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
71,Capitalism: A Love Story,2009,Michael Moore,Documentary,Michael Moore examines the American financial system and argues that capitalism itself is the root of the nations economic catastrophe in his most ambitious polemic.,Venice competition; RT 72 MC 55; $17M on $20M; Moore vs Wall Street; post-2008 crash urgency; funny and furious; Goldman Sachs exposed,"Venice Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
72,Julie and Julia,2009,Nora Ephron,Drama/Comedy,Julia Childs years in Paris learning French cooking are intercut with a modern blogger cooking all 524 of Childs recipes in a year in Ephrons delicious crowd-pleaser.,Golden Globe nom Actress (Streep); RT 76 MC 66; $129M on $40M; Streeps Julia Child transcendent; Amy Adams modern half less effective; food cinema at its warmest,"Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
73,Bronson,2009,Nicolas Winding Refn,Drama/Crime,Britains most violent prisoner reinvents himself as a performance artist in Refns kinetic visceral portrait of a man who turned incarceration into theater.,Sundance 2009; RT 72 MC 62; $2M; Tom Hardy career-making physical transformation; Refn pre-Drive; Kubrickian; Hardy's one-man-show extraordinary; cult classic,"Sundance Film Festival, Metacritic, Rotten Tomatoes, Letterboxd",,,,
74,Cold Souls,2009,Sophie Barthes,Comedy/Drama,Paul Giamatti discovers a company that extracts and stores human souls and foolishly has his removed only to lose it to the Russian black market in Barthes Kaufmanesque debut.,Sundance premiere; RT 73 MC 61; $1M; Giamatti playing himself; soul extraction as existential comedy; Russian soul trafficking; deadpan absurdism,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
75,Sunshine Cleaning,2009,Christine Jeffs,Comedy/Drama,Two sisters start a biohazard cleaning business to make money and find an unexpected sense of purpose in this warm indie about reinvention and family bonds.,Sundance premiere; RT 72 MC 62; $16M on $5M; Adams Blunt; Arkin supports; 3.2x return; Little Miss Sunshine-adjacent charm; sisters rebuilding lives,"Sundance Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
76,Antichrist,2009,Lars von Trier,Horror/Drama,A grieving couple retreat to a cabin in the woods where nature death and sexuality become instruments of primal terror in von Triers most extreme and divisive work.,Cannes Best Actress (Gainsbourg); RT 53 MC 49; $7.9M; profoundly controversial; Cannes walkouts and anti-prize; Gainsbourg and Dafoe fearless; chaos reigns; formally audacious,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
77,Sherlock Holmes,2009,Guy Ritchie,Action/Mystery,Holmes and Watson investigate a series of murders connected to a lord who appears to have risen from the dead in Ritchies energetic action-inflected franchise reboot.,Golden Globe noms; RT 70 MC 57; $524M on $90M; 5.8x return; Downey Jr and Law chemistry; Ritchie reinvigorated the property; Victorian London action spectacular,"Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,,3,2026-04-02T08:07:13.083Z
78,Adventureland,2009,Greg Mottola,Comedy/Drama,A recent college graduate takes a summer job at a crummy amusement park and falls for a complicated co-worker in Mottalas warm funny 1987-set coming-of-age gem.,RT 89 MC 76; $17M on $9M; Eisenberg Stewart Reynolds; Mottola post-Superbad; 80s nostalgia without condescension; best romantic comedy of the year,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,2,2026-04-02T08:07:28.934Z
79,The Girl with the Dragon Tattoo,2009,Niels Arden Oplev,Thriller/Crime,A disgraced journalist and a brilliant but troubled hacker investigate a decades-old disappearance linked to a wealthy Swedish family in this riveting Scandinavian thriller.,RT 86 MC 76; $104M worldwide; Noomi Rapace as Lisbeth Salander iconic; Swedish phenomenon; Larsson trilogy launched; Nordic noir mainstreamed; Fincher later remade,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
80,Harry Potter and the Half-Blood Prince,2009,David Yates,Fantasy/Adventure,Harry discovers an old potions textbook and joins Dumbledore in uncovering Voldemorts past while teenage romance blooms at Hogwarts in the franchises darkest and most emotionally mature entry.,RT 84 MC 78; $934M on $250M; franchise critical high; Broadbent as Slughorn; cave sequence terrifying; Dumbledore farewell; second-highest 2009 grosser,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,3,2026-04-02T08:07:20.742Z
81,Zombieland,2009,Ruben Fleischer,Comedy/Horror,A nerdy survivor navigates the zombie apocalypse with a ragtag group of fellow survivors following a strict set of rules in Fleischers hilarious gory road-trip comedy.,RT 89 MC 73; $102M on $24M; 4.3x return; Harrelson Eisenberg Stone; Bill Murray cameo legendary; rules format iconic; horror-comedy perfected for new generation,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,3,2026-04-02T08:07:23.717Z
82,Micmacs,2009,Jean-Pierre Jeunet,Comedy,A man injured by a stray bullet assembles a team of eccentric junkyard dwellers to take down two rival arms manufacturers in Jeunets whimsical revenge comedy.,TIFF Second Runner-Up; RT 64 MC 56; $17M; Jeunet mechanisms and whimsy; screwball revenge; French eccentricity; Amelie director in lower gear but still charming,"Toronto Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
83,Big Fan,2009,Robert D. Siegel,Drama/Comedy,A parking garage attendant whose entire identity revolves around the New York Giants faces an impossible choice when his favorite player assaults him.,RT 87 MC 71; $234K; Patton Oswalts tour de force; Siegels directorial debut (The Wrestler screenwriter); sports fandom as pathology; deeply uncomfortable; underseen gem,"Metacritic, Rotten Tomatoes, IndieWire, Letterboxd",,,,
84,The Princess and the Frog,2009,Ron Clements and John Musker,Animation/Musical,A hardworking New Orleans waitress is turned into a frog by a voodoo sorcerer and must find a way to break the spell in Disneys return to hand-drawn animation.,RT 85 MC 73; $267M on $105M; Disneys first Black princess Tiana; 2D animation revival attempted; Randy Newman songs; New Orleans jazz; 2.5x return,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
85,The Lovely Bones,2009,Peter Jackson,Drama/Fantasy,A murdered 14-year-old narrates her afterlife while watching her family grieve and her killer evade justice in Jacksons uneven ambitious Sebold adaptation.,Oscar nom Supporting Actor (Tucci); RT 32 MC 42; $74M on $65M; Tucci terrifying; Wahlberg and Weisz; CGI heaven divisive; Ronan ethereal; tone inconsistent,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
86,Summer Wars,2009,Mamoru Hosoda,Animation/Sci-Fi,A math genius is roped into pretending to be a girls boyfriend for her grandmothers birthday and must save a virtual world from a rogue AI in Hosodas exuberant anime.,RT 84 MC 73; $18M; Hosoda post-Girl Who Leapt Through Time; anime meets family drama meets cyber-thriller; Japanese summer tradition; visually inventive,"Metacritic, Rotten Tomatoes, Box Office Mojo, Letterboxd",,,,
87,The September Issue,2009,R.J. Cutler,Documentary,The making of Vogue magazines September 2007 issue reveals the dynamics between editor Anna Wintour and creative director Grace Coddington in this fascinating fashion documentary.,RT 84 MC 72; $3.3M; Coddington steals the film; fashion industry access unprecedented; Wintour surprisingly human; companion piece to The Devil Wears Prada reality,"Metacritic, Rotten Tomatoes, Box Office Mojo, IndieWire",,,,
88,Women Without Men,2009,Shirin Neshat,Drama,Four Iranian women navigate the political upheaval of the 1953 CIA-backed coup through interconnected stories of freedom and oppression in Neshats visual art film.,Venice Silver Lion Director; RT 55 MC 41; $540K; Neshat video artist turned filmmaker; Iranian womens liberation; magic garden as refuge; visually painterly,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
89,Samson and Delilah,2009,Warwick Thornton,Drama/Romance,Two Indigenous Australian teenagers escape their remote community for the city where they face homelessness and exploitation in Thorntons beautiful devastating debut.,Cannes Camera dOr; RT 87; $3.7M Australian; seminal Indigenous Australian cinema; Thornton shot his own film; petrol sniffing sequence harrowing; love story tender,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Screen Australia",,,,
90,Kinatay,2009,Brillante Mendoza,Drama/Crime,A criminology student moonlighting as a police auxiliary is drawn into a horrifying night of kidnapping and murder in Mendozas unflinching barely endurable crime film.,Cannes Best Director (most controversial winner in years); RT 50 MC 36; Philippines; 45-minute real-time darkness; Mendoza provocateur; Cannes audience booed,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
91,Cloudy with a Chance of Meatballs,2009,Phil Lord and Christopher Miller,Animation/Comedy,A failed inventor creates a machine that turns water into food raining meals from the sky until the portions grow dangerous in Lord and Millers inspired animated debut.,RT 86 MC 66; $243M on $100M; Lord and Miller began their rise; visual invention; food comedy escalation; 2.4x return; much better than expected,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
92,9,2009,Shane Acker,Animation/Sci-Fi,Nine sentient ragdolls navigate a post-apocalyptic world to discover the source of the machines that destroyed humanity in Ackers visually striking animated film.,RT 57 MC 53; $48M on $30M; Elijah Wood voices; expanded from Oscar-nominated short; visual design inventive; story underdeveloped; Burton produced,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
93,Paranormal Activity,2009,Oren Peli,Horror,A couple sets up cameras to document the demonic presence haunting their home and the footage reveals increasingly terrifying nocturnal disturbances in Pelis micro-budget phenomenon.,RT 83 MC 68; $194M on $215K; 9025x return most profitable film by ROI in history; found-footage perfected; viral marketing revolutionary; Spielberg championed,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
94,Whip It,2009,Drew Barrymore,Comedy/Drama,A small-town Texas teenager discovers roller derby and a new identity that clashes with her beauty-pageant mother in Barrymores charming directorial debut.,RT 84 MC 66; $13M on $15M; Ellen Page leads; Barrymore and Juliette Lewis; roller derby subculture celebrated; female friendship centered; underseen charmer,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
95,State of Play,2009,Kevin Macdonald,Thriller,A journalist investigates the death of a congressmans mistress and uncovers a conspiracy involving private military contractors in this solid newspaper thriller.,RT 84 MC 64; $87M on $60M; Crowe Affleck Mirren McAdams; BBC original adapted; 1.5x return; journalism thriller competent; old-school political intrigue,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
96,The Informant!,2009,Steven Soderbergh,Comedy/Crime,A corporate whistleblower cooperates with the FBI to expose his companys price-fixing conspiracy but his own lies prove far more elaborate in Soderberghs darkly funny true story.,RT 78 MC 68; $41M on $22M; Damon gained 30 pounds; Soderbergh sardonic; unreliable narrator corporate America; Marvin Hamlisch score delightful,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
97,Where the Wild Things Are,2009,Spike Jonze,Fantasy/Drama,A lonely boy sails to an island of giant wild creatures and becomes their king but discovers that ruling a kingdom cant fix the sadness within in Jonzes emotionally devastating adaptation.,RT 73 MC 71; $100M on $100M; Sendak adaptation as existential childhood crisis; divisive but beloved; Jonze refused to dumb down; Records performance,"Metacritic, Rotten Tomatoes, Box Office Mojo, Letterboxd",,1,,
98,Public Enemies,2009,Michael Mann,Crime/Drama,FBI agent Melvin Purvis pursues bank robber John Dillinger across Depression-era America in Manns digitally shot stylish period crime epic.,RT 68 MC 70; $214M on $100M; Depp as Dillinger; Bale as Purvis; Manns HD digital aesthetic divided audiences; 2.1x return; period detail immaculate; Mann committed to form,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
99,The Road,2009,John Hillcoat,Drama/Sci-Fi,A father and son push a cart through a post-apocalyptic wasteland trying to survive and maintain their humanity in Hillcoats bleak faithful McCarthy adaptation.,RT 74 MC 64; $27M on $25M; Mortensen committed; Smit-McPhee poignant; McCarthys prose translated to ash; relentlessly bleak but emotionally true,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
100,Duplicity,2009,Tony Gilroy,Thriller/Comedy,Two ex-intelligence agents now working for rival corporations manipulate and double-cross each other while falling in love in Gilroys sophisticated caper.,RT 68 MC 68; $78M on $60M; Roberts Clive; Gilroy post-Michael Clayton; clever tangled plot; underappreciated; 1.3x return disappointing,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
101,Jennifer's Body,2009,Karyn Kusama,Horror/Comedy,A newly possessed cheerleader begins killing boys in her small town and her best friend must stop her in Kusamas misunderstood feminist horror that found its audience years later.,TIFF premiere; RT 44 MC 47; $31M on $16M; Fox Seyfried; Cody screenplay; feminist horror reading emerged; massive critical reappraisal into cult status; ahead of its time,"Toronto Film Festival, Metacritic, Rotten Tomatoes, Letterboxd",,,,
102,Monsters vs Aliens,2009,Rob Letterman and Conrad Vernon,Animation/Sci-Fi,A woman transformed into a giant by a meteorite is recruited by the government alongside other monsters to fight an alien invasion.,RT 72 MC 56; $382M on $175M; 3D push film; Witherspoon Rogen voices; 2.2x return; DreamWorks mid-tier; entertaining but forgettable,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
103,Funny People,2009,Judd Apatow,Comedy/Drama,A famous comedian diagnosed with a terminal illness takes a struggling young comic under his wing in Apatows ambitious overlong attempt to make his Terms of Endearment.,RT 68 MC 60; $71M on $75M; Sandler dramatic; Rogen Schwartzman; Apatows most personal; 148 minutes divided critics; death anxiety genuine beneath comedy,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
104,Extract,2009,Mike Judge,Comedy,A factory owner dealing with a scheming new employee an accident-prone worker and marital problems spirals into chaos in Judges dryly funny workplace satire.,RT 62 MC 61; $11M on $7.5M; Bateman Kunis Affleck; Judge post-Office Space; blue-collar management comedy; Affleck stoner buddy hilarious; quiet cult following,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
105,Away We Go,2009,Sam Mendes,Comedy/Drama,An expectant couple travels across North America visiting friends and family to find the perfect place to raise their child in Mendes quirky road-trip comedy.,RT 65 MC 56; $10M on $17M; Krasinski Rudolph; Dave Eggers wrote; Mendes lighter mode; indie road-trip formula; mixed but has defenders,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
106,Watchmen,2009,Zack Snyder,Sci-Fi/Action,In an alternate 1985 where Nixon is still president costumed vigilantes investigate the murder of one of their own and uncover a conspiracy to destroy millions.,RT 65 MC 56; $185M on $130M; Moore adaptation divisive; Snyders visual fidelity to panels; opening credits sequence genius; Haley as Rorschach; cult devoted,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,1,,
107,Brothers,2009,Jim Sheridan,Drama/War,A Marine presumed dead in Afghanistan returns home profoundly changed and suspects his brother has become involved with his wife in Sheridans intense family drama.,RT 63 MC 56; $43M on $26M; Maguire Gyllenhaal Portman; Susanne Bier original; Maguires intensity; 1.7x return; emotional volatility; Sheridan competent remake,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
108,Coco Before Chanel,2009,Anne Fontaine,Drama/Biography,The early life of Coco Chanel from orphanage to the beginnings of her fashion empire is told through her relationships with wealthy men in this elegant French biopic.,RT 60 MC 56; $72M on $25M; Tautou as Chanel; French prestige production; costume design impressive; 2.9x return; fashion origin story; internationally successful,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
109,Its Complicated,2009,Nancy Meyers,Comedy/Romance,A divorced woman begins a secret affair with her remarried ex-husband while also being pursued by a younger architect in Meyers warmly funny ensemble comedy.,RT 59 MC 56; $224M on $85M; Streep Baldwin Martin; 2.6x return; Meyers adult comedy fortress; older audience turned out; pastry-making montages,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
110,Pirate Radio,2009,Richard Curtis,Comedy/Drama,A band of rogue DJs broadcast rock and roll from a ship in the North Sea defying the British government in Curtis love letter to 1960s pirate radio.,RT 66 MC 48; $36M on $50M; Hoffman Branagh Nighy Rhys Ifans; Curtis lighter than usual; soundtrack magnificent; US cut heavily re-edited; UK version superior,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
111,The International,2009,Tom Tykwer,Thriller/Action,An Interpol agent and a Manhattan DA investigate a powerful bank involved in arms dealing and political assassination in Tykwers slick conspiracy thriller.,RT 57 MC 54; $60M on $50M; Owen Watts; Guggenheim shootout spectacular; 1.2x return; Tykwer efficient; banking conspiracy topical post-2008,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
112,The Soloist,2009,Joe Wright,Drama,A journalist befriends a homeless Juilliard-trained musician living on the streets of Los Angeles in Wrights earnest if uneven true-story drama.,RT 57 MC 53; $38M on $60M; Foxx Downey Jr; Wright post-Atonement; mental illness and homelessness; performances better than film; commercially disappointing,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
113,A Christmas Carol,2009,Robert Zemeckis,Animation/Fantasy,Ebenezer Scrooge is visited by three ghosts on Christmas Eve in Zemeckis ambitious if uncanny motion-capture adaptation of Dickens.,RT 53 MC 55; $325M on $175M; Carrey multiple roles; 3D motion capture; 1.9x return; uncanny valley debated; holiday perennial potential; Zemeckis performance-capture era,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
114,The Taking of Pelham 123,2009,Tony Scott,Thriller/Action,A subway dispatcher negotiates with hijackers who have taken a New York City subway train hostage in Scotts high-energy remake of the 1974 classic.,RT 51 MC 55; $150M on $100M; Washington Travolta; Scott kinetic style; 1.5x return; competent remake; Travolta hamming; original superior,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
115,Observe and Report,2009,Jody Hill,Comedy/Drama,A bipolar mall security guard with delusions of grandeur pursues a flasher and the makeup counter girl of his dreams in Hills dark anti-comedy.,RT 51 MC 53; $26M on $18M; Rogen against type; Eastbound and Down energy; deliberately uncomfortable; Taxi Driver as mall comedy; divisive but has devoted fans,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
116,Whatever Works,2009,Woody Allen,Comedy,A misanthropic physicist befriends a naive Southern runaway in Allens return to New York filmmaking with Larry David stepping into the neurotic-lead role.,RT 50 MC 49; $35M on $15M; Allen and David collaboration; curb-your-enthusiasm meets Manhattan; 2.3x return; minor Allen but David entertaining,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
117,Orphan,2009,Jaume Collet-Serra,Horror/Thriller,A couple adopts a mysterious nine-year-old girl from a Russian orphanage and her increasingly disturbing behavior reveals a shocking secret.,RT 56 MC 42; $78M on $20M; 3.9x return; twist ending legendary; Farmiga Sarsgaard; Fuhrman chilling; Collet-Serra elevated genre work; genuinely unsettling,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
118,The Men Who Stare at Goats,2009,Grant Heslov,Comedy,A reporter in Iraq discovers a top-secret unit of soldiers trained to use paranormal powers in this absurdist true-story military comedy.,RT 50 MC 48; $69M on $24M; Clooney Bridges McGregor Spacey; 2.9x return; premise better than execution; based on Jon Ronsons book; Jedi references,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
119,Ice Age: Dawn of the Dinosaurs,2009,Carlos Saldanha,Animation/Comedy,The herd discovers a hidden world of dinosaurs beneath the ice and must rescue a kidnapped baby in the franchises third and most commercially successful entry.,RT 46 MC 50; $886M on $90M; 9.8x return; third-highest 2009 grosser; franchise peaked commercially; Buckley voiced; international phenomenon,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
120,The Proposal,2009,Anne Fletcher,Comedy/Romance,A demanding book editor forces her assistant to marry her to avoid deportation to Canada and they must convince her family in Alaska the relationship is real.,RT 44 MC 48; $314M on $40M; 7.9x return; Bullock Reynolds pre-relationship; rom-com formula commercially potent; eighth-highest 2009 grosser,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,3,2026-04-02T08:08:18.046Z
121,The Box,2009,Richard Kelly,Thriller/Sci-Fi,A mysterious stranger offers a couple a million dollars if they push a button that will kill someone they dont know in Kellys ambitious Twilight Zone expansion.,RT 44 MC 47; $33M on $30M; Diaz Marsden Langella; Kelly post-Donnie Darko; Matheson story expanded; visually inventive if narratively confused,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
122,2012,2009,Roland Emmerich,Action/Sci-Fi,A writer discovers that the Mayan apocalypse is real and races to save his family as the planet tears itself apart in Emmerichs spectacularly excessive disaster epic.,RT 39 MC 49; $770M on $200M; 3.9x return; fifth-highest 2009 grosser; destruction sequences absurd; Cusack leads; Emmerich maximalism; internationally massive,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,2,2026-04-02T08:08:27.601Z
123,Night at the Museum: Battle of the Smithsonian,2009,Shawn Levy,Comedy/Fantasy,The museum exhibits come alive in the Smithsonian as Larry must stop an Egyptian pharaoh from conquering the world in Levys sequel that upgraded the setting.,RT 44 MC 42; $413M on $150M; Stiller Hank Azaria Adams; franchise formula repeated; 2.8x return; family entertainment continued,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
124,The Limits of Control,2009,Jim Jarmusch,Drama/Crime,A mysterious lone man follows cryptic instructions through Spain on a mission whose purpose is never revealed in Jarmuschs most abstract minimal and divisive film.,RT 40 MC 45; $1.5M; Isaach de Bankole silent protagonist; Jarmusch anti-thriller; Spain as dreamscape; Bill Murray Tilda Swinton cameos; deliberately alienating,"Metacritic, Rotten Tomatoes, Box Office Mojo, Letterboxd",,,,
125,Angels and Demons,2009,Ron Howard,Thriller,Robert Langdon races through Rome to solve a mystery threatening the Vatican as four cardinals are kidnapped during the papal conclave in Howards competent sequel.,RT 37 MC 48; $486M on $150M; Hanks returns; 3.2x return; better than Da Vinci Code; Rome locations exploited; franchise continued commercially strong,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
126,Spring Fever,2009,Lou Ye,Drama/Romance,A private investigator hired to follow an unfaithful husband becomes entangled in the illicit gay love affair he is documenting in Lou Yes sensuous defiant film.,Cannes Best Screenplay; banned in China; Lou Yes continued underground filmmaking; Chinese queer cinema landmark; Nanjing summer heat; poetically transgressive,"Cannes Film Festival, Metacritic, Sight and Sound, IndieWire",,,,
127,The Blind Side,2009,John Lee Hancock,Drama/Biography,A wealthy Memphis woman takes in a homeless Black teenager and helps him become an All-American football player in Hancocks crowd-pleasing true-story drama.,Oscar Best Actress (Bullock); $309M on $29M; 10.7x return; Bullock career-high; culturally massive; white-savior debate vs genuine uplift; sixth-highest 2009 grosser,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
128,Surrogates,2009,Jonathan Mostow,Sci-Fi/Action,In a world where people live through robotic surrogates an FBI agent investigates a murder that can kill through the surrogate connection.,RT 38 MC 45; $122M on $80M; Willis; interesting premise underexplored; 1.5x return; Mostow workmanlike; comic book adaptation; 88 minutes efficient,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
129,Terminator Salvation,2009,McG,Action/Sci-Fi,John Connor leads the human resistance against Skynet in a post-apocalyptic 2018 while a mysterious stranger holds the key to humanitys survival.,RT 33 MC 49; $371M on $200M; Bale leads; Worthington supports; franchise diminished; on-set audio leak; 1.9x return disappointing for budget; Bales rant went viral,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
130,X-Men Origins: Wolverine,2009,Gavin Hood,Action/Superhero,Wolverines backstory unfolds from the Civil War through his military service to the Weapon X program that bonded adamantium to his skeleton.,RT 37 MC 40; $373M on $150M; Jackman committed; Reynolds Deadpool introduction botched; 2.5x return; franchise course-corrected after; Hood struggled with studio,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,2,2026-04-02T08:08:32.443Z
131,Knowing,2009,Alex Proyas,Sci-Fi/Thriller,A professor discovers that a 50-year-old time capsule contains a document predicting every major disaster including ones that havent happened yet.,RT 34 MC 41; $184M on $50M; 3.7x return; Cage; Proyas visual flair; ending audacious; commercially solid; polarized audiences between brilliant and absurd,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
132,My Sisters Keeper,2009,Nick Cassavetes,Drama,A girl conceived to be a genetic match for her leukemia-stricken sister sues her parents for medical emancipation in Cassavetes tearful Picoult adaptation.,RT 28 MC 46; $49M on $30M; Diaz Fanning Baldwin; ending changed from novel; 1.6x return; Fanning effective; weepy by design; audience responded despite reviews,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
133,Fast and Furious,2009,Justin Lin,Action/Crime,Dom and Brian reunite to take down a heroin importer in the franchise revival that brought back the original cast and reignited the series.,RT 28 MC 45; $363M on $85M; 4.3x return; franchise renaissance began here; Walker Diesel Brewster Rodriguez; Lin energized the series; led to $6B franchise,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
134,The Twilight Saga: New Moon,2009,Chris Weitz,Romance/Fantasy,Bella spirals into depression after Edward leaves and finds solace with werewolf Jacob in the franchise sequel that delivered the saga its biggest opening weekend.,RT 28 MC 44; $711M on $50M; 14.2x return; Team Edward vs Team Jacob cultural war; franchise commercially peaked; Lautner abs; Weitz competent,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
135,3 Idiots,2009,Rajkumar Hirani,Drama,"Two old friends search for their long-lost college companion Rancho, a free-spirited engineering student who inspired them during their years at the fiercely competitive Imperial College of Engineering and then disappeared without trace. Through extended flashbacks, the film reconstructs Rancho's subversive, joyful challenge to a system built on rote learning, fear, and the pressure to succeed by others' definitions. Starring Aamir Khan in a career-defining performance, the film became one of the highest-grossing Indian films of all time and a beloved cultural phenomenon.",,LB Top 500,,,,
136,Redline,2009,Takeshi Koike,Drama,"JP is a wildly charismatic racing driver with a habit of self-sabotage who has qualified for Redline — the most extreme and dangerous racing event in the universe, held on a militarised alien world whose government definitely did not consent to the race. The film is seven years of hand-drawn animation by Koike and his team rendered into a hundred minutes of pure, delirious kinetic spectacle, with characters designed in an explosive exaggeration of 1950s American hot-rod culture set against psychedelic alien backdrops. It is widely considered one of the most visually audacious animated films ever made.",,LB Top 500,,,,
137,GI Joe: The Rise of Cobra,2009,Stephen Sommers,Action/Sci-Fi,An elite military unit battles the mysterious Cobra organization and its weapons dealer in Sommers big loud toy-adaptation spectacle.,RT 34 MC 32; $302M on $175M; Quaid Willis Tatum Gordon-Levitt; franchise launched; 1.7x return; 80s nostalgia monetized; Sommers excess,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
138,Law Abiding Citizen,2009,F. Gary Gray,Thriller,A brilliant inventor takes justice into his own hands after the men who murdered his family are given lenient sentences in Grays taut vigilante thriller.,RT 26 MC 34; $126M on $53M; Butler Foxx; 2.4x return; audience loved it critics didnt; vigilante fantasy; third act disappointment,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
139,Land of the Lost,2009,Brad Silberling,Comedy/Sci-Fi,A disgraced paleontologist is transported to an alternate dimension populated by dinosaurs and lizard people in this tone-deaf big-budget comedy catastrophe.,RT 26 MC 32; $69M on $100M; Ferrell; franchise nostalgia betrayed; colossal flop; 0.7x return; Ferrell commercial decline accelerated; iguanodon jokes fell flat,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
140,Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,Animation/Comedy,The Chipmunks face a rival girl group the Chipettes in a battle of the bands while Dave is hospitalized in this critic-proof franchise sequel.,RT 20 MC 37; $443M on $75M; 5.9x return; childrens franchise juggernaut; sixth-highest 2009 grosser; Lee replaced Bateman; commercially unstoppable,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
